review_id,category,text,label
review_265607,drinks,"First off it seems like they are always changing there staff when I come in. We try to get to know the bartender and stuff,but gets hard. Lol but I love Nina the waitress,she's the best. Unfortunately  she is leaving :(  I love the music they play here! Good happy hour too! Come by play some pool with your friends and drink a nice brew on tap!:)",3
review_560563,drinks,"When this place was first opened, I wrote it off... It seemed a little bland at first, despite a nice blue paintjob....and the crowd just was generally older... Not really my scene.\n\nThen, some fellow Yelpers had a meetup here prior to a movie at Fountain Park and I was pleasantly surprised to see that this set-up was pretty decent. I have since returned numerous times and it's unexpected favourite.\n\nDrinks can be a little above average price but affordable, I think the Fountain's best feature is the ambiance. If you have had a long day and you'd like to unwind with a nice cold drink, this is the place to be. A very nice place where there isn't insanely loud music and you can actually talk. It also doubles as a great place to hang out prior to movies.\n\nOn to the food, I LOVE their fries... So big and crispy and it comes in a pot... My friends are a fan of its fruit ciders. For me, I always go for their ginger beer.",3
review_554692,drinks,"Stopped by this liitle gem tonight after a good meal at Pellinis next door.  Oh me, oh my, I think I just ate the best cupcake of my life......chocolate with salted carmel frosting.....DELISH.  The price was quite reasonable also at $2.50.  This place is WAY better than Sprinkles.   Cant wait to go back and try the cake bites.",4
review_414588,drinks,"This place is reasonably inexpensive, with good drink specials, but the food is nothing more than slightly below average bar food (with a decent but unimpressively tasting pizza menu).    It's about what you'd expect, and earns a solid \""Meh\"" rating from this reviewer.",1
review_497906,drinks,"good Starbucks, busy because it's inside the outlet mall. (i should know, i work in a Starbucks inside a mall)\ni had a very light lunch, which was just the egg salad sandwich and iced caramel macchiato. \ngood job partners!",3
review_309862,drinks,"Alright this is the deal of deals, 2.75 for students and Im not sure if its a quarter more or not, but less 4 dollars. half an ice cream cookie sandwiches, trust me its enough.  \n\nIts a great pick me up for something sweet on mill\n\nCookies are made their along with the good ice cream, and if your not into that they have italian ice.\n\nPlace is small, but is packed with flavor, and smells like fresh cookies.\n\nRecommendation: If you love cookies made into sandwiches",4
review_417016,drinks,Very nice wine bar.  They have a good selection of wine.\nMy husband chose a glass of wine that was not quite right when he tasted it.  The waitress quickly poured some to try and agreed.  Then she brought my husband several other selections until he was satisfied.\n\nBest place for Mollydooker wines.,3
review_215112,drinks,"I went here looking for coffee - not the house blend - but coffee from Ethiopia, Java, Turkey, the Netherlands, you name it.  I want my real coffee house experience back.  I want to choose the beans, I want to choose the grind and I want to choose the brewing method.  WTF?  Anything else is just a stand-in for Starbucks.  Okay, so the guy playing the guitar didn't ruin my inexpensive panini meal.  All told we walked out after having spent $22.00 on two sandwiches and water.  I have a panini press at home.  Why would I go back?",1
review_93298,drinks,"This place is a sweet dive. I've never been here on a busy night, but I do know that its a good place to enjoy cheap drinks  and edible bar food after work.",3
review_423147,drinks,great place to watch the game if you dont mind second hand smoke and smelling like an ash tray,2
review_389217,drinks,"Love the taro yogurt and mochi balls! The only down side is the lack of seating and the fifty bajillion college kids that swarm this place. Maybe that's just the old woman in me, but this place gets really loud! I definitely like it here better than Mojo's so I'll take my yogurt to go and enjoy it in peace!",3
review_552615,drinks,Very nice.  First time here and at a raw food restaurant.  Loved the enthusiam of Xavier!   Had a good mocha and tried the raw sweets!  Loved the coconut macaroons!   Atmosphere is very relaxing with cool jazz.  Next time will try a raw meal.,4
review_490643,drinks,"Craft cocktails, friendly bartenders and excellent appetizers. What more could you ask for? Their fries are excellent. I've had a few other small plates too, but it's the fries that I remember most. Go here if you are looking for a great drink during happy hour to start off your night right.",3
review_143139,drinks,"Our favorite pub in Las Vegas.\n\nGood food, great beer and close to the Strip. Make it a point to go!",3
review_346884,drinks,"Someone had told me that I had to check this place out for the coffee, espresso, and mocha things.  Well, the coffee didn't really impress me all that much. I had gotten a mocha and my friend got a latte. It definitely had enough caffeine but just wasn't that good. I tried my friend's latte and it wasn't that great either. Customer service was alright. The girl working was pretty nice. \n\nI didn't try any of the pastries which i probably should of but on the coffee itself I give 2 stars. If I come back here I'll update this.",1
review_331598,drinks,"Au sein du plateau Mont-Royal, cette petite brasserie artisanale aux allures contemporaines et branch\u00e9es a un petit quelque chose bien \u00e0 elle, qui s'explique peut-\u00eatre en partie dans la promiscuit\u00e9 qu'oblige sa petitesse. Calme en apr\u00e8s-midi et agit\u00e9e en soir\u00e9e, le R\u00e9servoir est un endroit qui s'affiche discr\u00e8tement sur la liste des brasseries montr\u00e9alaises. Pourtant elle m\u00e9rite le d\u00e9tour, ne serait-ce que pour go\u00fbter les produits qu'elle propose.\n\nLeurs bi\u00e8res anonymes, uniquement d\u00e9finies par le genre (Noire, Rousse, Blonde, Blanche, Scotch Ale, Weizen, etc.) ne sont pas pour autant sans \u00e2me. La Blonde (Pilesener), tr\u00e8s c\u00e9r\u00e9ali\u00e8re et anormalement limpide, semble cependant avoir \u00e9t\u00e9 \u00e9touff\u00e9e par une montagne de houblon, comme si l'on avait voulu cacher quelconque anomalie gustative... La bi\u00e8re aux cerises se d\u00e9marque du lot.\n\nLes plats sont assez \u00e9labor\u00e9s; le rago\u00fbt de pieuvre et chorizo ou encore l'assiette de fromage, pour ne nommer que ceux-l\u00e0, tenteront sans doute les adeptes de tentacules et de moisissures bon go\u00fbt... \n\nLe verre n'est que 3,50$\n\nBonne machine \u00e0 espresso...",2
review_438832,drinks,"I go into Boba City cafe for a quick bite while i run my errands, i order a large avocado smoothie with boba and a vietnamese chicken sandwich. First off the pricing posted on the wall for this smoothie did not reflect the actual price which was taped to the 1 register. i end up psying $6 or $7 for a large smoothie which was waaaayy overpriced. It tasted like the avocados that had been used were over ripe. In a word putrid!! When i go and pay I had some bill and like 70 cents change which the cashier helped herself to as a tip instead of giving it me. This should have been the first inclination of trouble. The sandwich was ok, fresh. I take my food and siy in my car, then decide to go back in to ask if I could get another drink instead. The cashier then said I had to pay for another. Obviously if I'm asking for a new drink this must be disgusting. Overall the service was very poor and unprofessional and it seems to me that they are  trying to make up for the lack of customers by helping themselves to your change one customer at at a time. My advice is to got to Chinatown for better prices, tastier food, and faster service.\n\nDON'T WASTE YOUR TIME OR MONEY!!!",0
review_509383,drinks,"Best ice cream I've ever had...hands down. Their sherbet and shakes are also bomb. There isn't much more to say about this place other than the fact that it is a must-try place in Phoenix. The staff is friendly and the atmosphere is homey. Theres also a back patio where you can enjoy your treats. Located right by Federal Pizza, Postinos, and Windsor, it's easy to skip dessert at the restaurant and try this place for a change.\n\nOverall, if you love ice cream GO TO CHURN.",4
review_112579,drinks,"I had a good time at the depot cantina. It is a fun atmosphere and is a great place to grab some brews and food. I had some sampler platter which was extremely tasty! I like their tortilla chips and their salsa is pretty good. $2 Dos Equis all day every day and I am a fan of the dos. FYI, If you go here during a tempe event you can park but you have to pay $20 to do so, then they give you a ticket that you give to the waiter to get your $20 back. If you want some tasty mex food and alcohol this is probably the best spot to go in the tempe/mill area. Lot's of people watching and places to sit. I love the big margarita glasses and you get a discount on the tasty margs if you buy one and bring it back with you on your next visit.",2
review_49108,drinks,The bottom line is Gold Bar is a local spot with a devoted clientele.  It is chill and comfortable.,3
review_354523,drinks,"This is a lovely little cafe I stumbled upon off the Royal Mile. \n\nWe wanted to something warm to drink and a bite to eat for a late breakfast and our needs were met. They had a special with yogurt, granola and a pastry or toast (I can't seem to recall exactly, but I think it was a croissant), plus a juice and tea or coffee. \n\nThe food was good and my coffee was fresh and smooth, my boyfriend's tea was also nice, light and crisp. The orange juice was fresh and yummy.",4
review_638907,drinks,"I came here on a Tuesday night for Techno Taco Tuesdays. Their complimentary chips and salsa were good. Their salsa is not spicy. It's the slushy, mild kind. Their tacos were $2 that night. Their tacos normally are $3-$4 each. I already had an early dinner so only got two tacos- beef adobada and the veggie potato cheese taco. The tacos are small.\n\nThey have a very impressive craft beer selection. However, they need to know their beers. My husband ordered an IPA and one of the Belgian beers for the second round. The second beer tasted exactly like the first beer. When we asked the waiter, he said it was the right order. Uh, OK? My friend ordered an amber ale but they gave him one of the IPAs.\n\nI came here again the following week. The second time here, they forgot my friend's taco. No biggie, it happens. I got the carne asada and the veggie taco since I liked that one the last time. Carne asada was OK. Not bad or the best.\n\nI would come back during HH and please make sure you give people the right beer please!",2
review_567674,drinks,"Good Morning Coffee... I have a friend who's husband works in Marketing at Peet's Coffee in Seattle.  The ongoing joke finally came true (this joke was first told to me at least 9 years ago!) \""One day Starbucks is going to be so big, you will order your coffee and go to the bathroom, inside the bathroom there will be another Starbucks in there\""... Ok, much funnier in person, and when anyone else tells the joke! \n\nSafeway Starbucks. The only thing I don't like is when I order a \""Grande White Chocolate Mocha\"", they always ask if I want it hot... Im sorry, isn't there an iced version? If I wanted it iced I would have asked, and I didn't. So stream that bitch up and don't forget the whipped cream.. :0)",3
review_502022,drinks,"Total chaos order taker was lost, confused and obviously new or unfamiliar with her position. A frustrated manager in the back looked angry and was barking orders while scrambling to work the line, borderline rude to costumers. Cashier then gave me a Latte frap instead of an Iced Latte. This experience was awkward and uncomfortable to watch my first and last time at this location. Get a clue your job is costumer service if your in the weeds fine, keep cool but don't project your anger on costumers when its you who's in over your head, epic fail.",0
review_197864,drinks,"Loved the special margarita prepared tableside!  \nIf going with a group - definitely order \""The Feast!\"". One of everything on the menu. The portions are small but the number of plates is incredible!\nWill definitely go back next trip to Vegas!",3
review_86082,drinks,"I normally love Steep and Brew and buy coffee here all the time...however last night when I went here to study it was a really bad experience. The baristas seemed more focused on talking to each other and their friends than waiting on customers, continuously turned up the music so loud we had to ask them to turn it down, and were cursing loudly so the entire store could hear them: in a word, unprofessional. The coffee was great but the environment was not.",1
review_357430,drinks,"Lots of good beers here if you are a fan of \""something different\"". The first time I went here we had a make your own topping pizza which was delicious. I've been back two or three times since and cant say the pizza was memorable. So I guess its all in what you order. It seems a build your own is better then the predetermined ones. This place used to be a Mellow Mushroom, to me Revolution is like the same thing. \n\nI love the outdoor patio and the location is great (NODA)",3
review_344966,drinks,"Party atmosphere and sports bar with a dozen tv's, throw in a massive selection of wing flavors and you have Wild Wings Cafe.\n\nI was there with a few friends for St. Patty's Day (night?) and we took up a table for a few hours. The staff was attentive, even if they did manage to mess up the separate checks a little. With $2.75 Killians on special and $1.50 green beer, getting charged for an extra one wasn't a problem. The mixed drinks were mixed pretty strong. Our waiter did manage to split the appetizers for each of us, which was cool.\n\nWings. The house special. They -only- have 33 different flavors, from the bbq to the virgin all the way up to Braveheart. When they say hot, they mean hot. Mix and match, Tuesday is buy 1 get 1 free night. The Chicken Queso dip and the Hot Shots (deep fried sausage & cheese pastry) was great to share.",3
review_493194,drinks,My husband and I tried three drinks each here on Boxing day.  Each one was fabulous and our server never let us sit long before checking on us.,3
review_322961,drinks,I LOVE this place! I LOVE frozen yogurt!  What's not to love right?!\n\nAside from Yogels this is my favorite. Yogels is just a little less expensive as I remember. But whatever the case if I am at town square I'll stop by here. I kind of wish in the summer they stayed open later that would be nice!\n\nI'll add a few photos for ya!,3
