review_id,category,text,label
review_245366,entertainment,"The lake is fun and large enough to spend a few hours exploring. The folks at the marina are friendly, helpful and a pleasure to work with. Enjoy renting a boat or house boat",3
review_161915,entertainment,"This hotel is far better looking from the outside. The casino floor isn't very inviting, nor was I impressed with the buffet. That's all I have to say about that.",1
review_375522,entertainment,"This hotel is SOOOO beautiful, I didn't stay there but I shopped and gambled here a little and I just want to COMPLIMENT on what a WONDERFUL and cool casino and regular hotel staff they have here. They were so nice and funny, trying to teach us the rules of the tables and such. \n\nI also really love how much things they have in this hotel to do. and also how just in general beautiful and clean and upscale feeling this place was. I think I want to stay here next time I am in Vegas. I feel like I wont have to travel much since this hotel has shopping, restaurants, a casino and club!! =) \n\noverall, i think the average hotel stayer or tourist wont be disappointed here!",3
review_572004,entertainment,"So, so loud. You've gotta put some effort into your yelling if you want others to hear you. It's a very small venue with the niche of a west-valley-dive-bar type of clientele--old guys listening to young guys attempt to play hard rock. \n\nOkay, the bands were okay I guess. I just don't understand how such a small crowd of people can stand there so calmly while these performers are shredding as hard as they can. There's a bar inside with all the essentials, but drinkers were definitely in the minority. \n\nThis place was not very fun. \n\nBut at least it was competent. Security was cool, and I could just play billiards if I got too bored with the show. Nothing about this place inspires me to return, but as a decent supporter of local arts that treated me well, I can't give it anything lower than a three.",2
review_6621,entertainment,The Discovery Place exceeded our expectations. We heard about this and decided to check it out on our way out of town. There is soo much to see that it's a little overwhelming. Our kids are on the younger side (5 and 3) and can't read yet so some of the science things they didn't get or understand. The staff is very helpful and willing to help you with the experiments. We loved the little kid area where we could put our baby down so she could explore too! Cafeteria and parking is over priced but the cost of admission is totally worth it. Be prepared to spend at least 4 hours wandering around. Great museum! We will be visiting again!,4
review_48072,entertainment,"I've visited Angels' home away from home, also known as Tempe Diablo Stadium, a few times, most recently two weeks ago.  The ballpark certainly serves its purpose, but the facility is not nearly as nice as the other ballparks in the area.\n\nWe came here for a Dodgers/Angels game on a Monday afternoon.  The game was sold out, and all the parking spots were taken loooooong before the first pitch.  We showed up at 11:30 for a 1 pm game, and we were forced to park in a parking lot of a corporate building far, far away.  Walking back to the stadium, we had to, ahem, dodge cars and scalpers, which wasn't exactly an R&R type of activity.\n\nOnce inside the stadium, I felt much better.  Let's face it, there are worse places to be on a Monday afternoon.  We had seats just to the left of 3rd base, 5 rows up.  I was surprised that such good seats were not seats at all.  They were bleacher benches with back support.  There was hardly any legroom at all, and when someone needed to get through, it was an adventure in itself.  The concourses are also very small and crowded, so getting concessions or walking to the bathroom is no picnic, either.\n\nI like how the ballpark is designed to look like a mini Angel Stadium, complete with giant red letters \""A\"" and the view of the mountains to the left and the freeway in centerfield.  The ushers at Tempe Diablo Stadium are also among the most lenient and friendliest in all of Cactus League.  Well done!",2
review_2586,entertainment,"We are so lucky to have such an amazing theater community in Pittsburgh.  This unique theater adds so much to the mix!  It's a fantastic theater because they focus on plays, usually with one musical in the mix. There's new works here, like the original show The Chief, about what else, but Pittsburgh Steelers founding owner Art Rooney.  They bring in the classics like A Midsummer Night's Dream and The Important of Being Earnest.  They also have newer works right off Broadway, like The Rabbit Hole and Superior Donuts.  Plus, they bring in Second City every year, which is big in my book because they've spawned a couple SNL cast members!! \n\nI absolutely LOVE the theater!  I'm a big fan of a theater in the round.  That means there's seating on 3 sides of the stage.  They've also been able to do some really cool things with the stage/set, like making an actual pool for the show Metamorphoses.  My favorite all time show was The Secret Letters of Jackie and Marilyn, which was a world premiere.  The show was about a made up relationship between the two women where they wrote letters to each other.  It was a VERY cool concept! \n\nThey also do a lot of great events like the Mix at 6 for young professionals before a show.  Plus, they understand that most of us under 26 (and of course sometimes above) are broke ho's, they offer $15 tickets!  The great thing is, there's really not a bad seat in the house! \n\nAgain, we have a fantastic theater district, so TAKE ADVANTAGE and go here!  Don't make me tell you twice!!",4
review_201227,entertainment,"I love this place. The moment you walk in, it's like you've been transported to a tropical place. The first part is pretty interesting. Once you get to the underwater tunnel, in my opinion, the fun begins. It's like you're part of the underwater fun. The touch pool filled with sting rays and horse shoe crabs is great. The best thing about Shark Reef is the sunken ship, where you can see tons of sharks, a few sea turtles, and one huge ray. I was able to see a couple of employees dive while I was there. This is a must do for anyone who is visiting Las Vegas. Yes the price is a bit much, but I feel like you can get your moneys worth there.",4
review_601010,entertainment,Joker of clubs is a good place to chill have fun with people and has a great atmosphere good place to play games make new great friends and have some amazing hookah with all different kinds of flavors and mixes that they have not only on the menu but also what the employees can come up with. Great music too all from hip hop to country and even edm. Every one here are friendly happy and when time comes or right ready to party. Amazing customer service!!! One place I will for sure go back to!! Karaoke Thursdays game nights Sunday movie night Mondays and much more great atmosphere for sure.,4
review_232569,entertainment,"We stayed here for a little \""staycation\"" over the weekend. We had plans for Saturday so we stayed only Friday night. \n\nI called to see if there was a way we could check in early. (Normal is 4pm) since we had Friday off and they said as long as the room was ready , but we could also use the facilities as we waited. IE Pool \n\nWe got there about 11am and the room was ready. We had a mountainside suite. It was a king bed and a fold out couch. The room was large enough for the 4 of us and was decorated nicely. The bed was very comfortable and the fold out was decent too. \n\nSince parking is hard to come by on a crowded weekend we had the staff shuttle us to the pool and back. The grounds are on the side of a mountain and it was too hot to walk. \n\nThe Falls pool area is large, with plot of seating/lounging, a bar/cafe, a waterslide and a huge play pool with a volleyball net strung across. \n\nThe waiter was quick with our drink orders and kept them full. The prices are a little steep but it is a resort. \n\nThe youngest had a good time in the lower falls area, sang karaoke and everything. \n\nWe had a great time and would come back again.",3
