review_id,category,text,label
review_342600,restaurant,Horrible horrible service! This has been the third time here at restaurant and just very disappointed. The waiter was just bad!,0
review_602656,restaurant,"Kind of ricey even though we didn't order AYCE but they tasted good and fresh. The toastedness of the sasa wasnt my favorite but tge playboy was good. \n\nAaron was great, I think he's the manager.  Good, fast service.",3
review_514203,restaurant,Good price for the food,2
review_553423,restaurant,Traditional chain restuarant with your typical menu.  Great location though.....and it was hopping for its grand opening.,1
review_649036,restaurant,"Two words come to mind that best describe my experience: thoroughly disappointing. The ambience is great - the decor is good and the waitstaff were nice enough. If I could end the review there this would be a 5 star review... but oh, the food. \n\nI ordered a staple, Pad Thai. I'm not sure where they went wrong but it was terrible all around. Instead of choosing your protein (as is common with the dish), this chef is confused - they include chicken, shrimp, and something else I couldn't quite make out; the flavor was just 'off' from what Pad Thai should be - that's as best as I can describe it. The spice level also left much to be desired - I ordered 'Thai Hot', the spiciest they have and the dish packed as much punch as a wet noodle, no pun intended. Lastly, the consistency of the noodles was just wrong - either it was too soggy or too wet and the noodles were round instead of flat so it didn't feel quite right in the mouth. \n\nAnd the price? At $14.95, this was the most expensive Pad Thai I've ever had; I wish I could say it was worth it. \n\nOn our way out (based on what I could see), I noticed that they didn't have a single Asian/Thailander working in the kitchen - it just seemed like a bunch of Southerners trying to mimic Asian cuisine; maybe that's why the food didn't have an 'authentic' taste. Maybe I'm being way too harsh/overly critical, but I'll tell you this - this is the first review I've ever given less than 4 stars; that's saying something. \n\nI really wanted to love this place, I did (especially since we live across the street from it), but based on tonight's performance, they're going to have a really hard time winning me back. \n\nOh and did I mention they don't have a lunch service? A Thai place with no lunch - that's like McDonald's with no breakfast.",1
review_643930,restaurant,"I always managed to feel sick after eating here, so I stopped going except for happy hour after work and maybe fries to eat.\n\nService varies. We had great service at first, and then it went downhill and we stopped going so much.  I might try another location, but it's not likely.",2
review_459769,restaurant,"I would give 2 stars but the food is good. Service is terrible slow. Went on a Saturday night took 15-20 minutes to get our beer.  Our server forgot to put in our appetizer and it came just before our meal. The mgr did comp it for us, but still, was surprised the server never checked in with us.  They brought my husbands meal from the kitchen 20 mins prior to our rolls being served, his meal was cold by the time we ate.  He ordered a second beer and they advised him they only had warm glasses and asked of that would be ok.... I come back because the food is good, but the service needs some help!",2
review_509241,restaurant,"Me and my girlfriend walked into this place after Mary Anns diner was full from Unofficial weekend. The chips where not bad, but when i took the first bite after dipping it in the salsa my perception of this place completely changed. The salsa tasted like it was from a can. \n\nThe service was not bad but i think the waiter suspected we were not enjoying our meal. Everything tasted like it was microwaved and on top of that the food was already bad. If i wanted beef tacos, tomato sauce enchiladas, and flavorless rice I would have gone down the street and ate at taco bell for half the price. \n\nTo sum things up, if you want authentic Mexican food, DO NOT GO HERE!",0
review_549211,restaurant,"My boyfriend and I tried this place a week ago.  I loved the theme of the place, since I come from the Northwoods myself.  That was the best part about the place, unfortunately.\n\nThe restaurant was not very full, but service took FOREVER.  The menu was overly large and the prices were overly inflated (especially considering the poor quality of the food).\n\nWe were seated pretty quickly, but it took the waitress a long time to actually visit us.  And then it took another very long time before she came back with our beverages.  And refills took just as long.  Very poor service.\n\nWhen she laid out the menus, the waitress went over the specials.  Seeing that they serve Country Fried Steak, I said it was a shame that they dont serve chicken fried chicken.  The waitress immediately corrected me, and insisted they DO, tapping emphatically on the Country Fried Steak item.  I asked her three times to clarify that what she was pointing at was not chicken, and she kept insisting, \""Yes, it SAYS steak, but this is actually chicken!!!\""  We should have walked out right then, ....buuuuut we didnt.  She finally realized what she was saying and admitted that the Country Fried Steak was not actually chicken, but beef, and that they do not serve chicken fried chicken.  Ugh.\n\nSo, I ordered the breakfast special that day, which amounted to ham steak, hashbrowns, sourdough toast and scrambled eggs with cheese.  My boyfriend ordered a big burger.\n\nWe waited for at least 30 minutes from the time of our order to the time that our food arrived at our table.  The burger arrived cooked as ordered, and my boyfriend ate it, saying it was 'good'.  My breakfast was awful.  The presentation was ugly, because I was expecting to get an entire ham steak, but what I received was a badly cut, fatty partial piece of a ham steak which was cold when it got to the table.  The hash browns were oily, and nothing to write home about.  My sourdough toast was actually burnt to the point of being black and charred across the surface.  The eggs were hot though, and fairly good tasting.  Not worth the price we paid, or the use of the lumberjack name.  \n\nI was physically sick from shortly after we ate, for the rest of that day, and we will not be going back again.  I would suggest that you AVOID this place like the plague, and go to IHOP, or Denny's, or basically any other greasy spoon diner because the price you pay will be far less, and the food will be far better.  Heck, Arizona Charlie's serves the same meal I ordered, but you get an entire ham steak, completely free of fatty bits, for $3.99, their service is prompt, and the waitstaff knows what they do and do not have on their menu.",0
review_122936,restaurant,"Seeked this place out looking for a sit down, but off the path mexi place.  My wife had a whole fried fish (mojarra) and said it was outstanding.  She thought it could have been cooked a touch more, but that indicates to me that they did it just right.\nKids had carne asada tacos plain, no toppings at their request.  They wolfed them down.\nI had two cheese enchiladas topped with their mole sauce.  It was very good.  Service was polite, sincere and prompt.  I would go back in a heatbeat.  After looking at the bill I was even more enthusiastic about this place.  Great job!\n\nWorthy note:  Besides their delicious salsas, they had my wife's favorite bottled hot sauce on tap (Castillos).  That is a first!\n\nStacky Best Of Award\u2122  Mojarra",3
