review_id,category,text,label
review_394256,shopping,"Worst Apple Store in the nation! Always chaos, horrible customer service. Just order online.",0
review_359881,shopping,"i lived in san luis obispo for a few months and they have one of the best weekly, outdoor farmers markets i've ever been to (in the U.S. anyway)....and not counting the Dekalb Farmers Market in Atlanta. the SLO market had tons of vendors, bands, performers, tons of food, arts/crafts, everything. so of course, i compare everything else to that. \n\nbut the old town market is pretty cool. they have a great selection of organic veggies and they are absolutely beautiful. so colorful and fresh, and full of flavor. we only buy a couple of things, but it's just fun to be out and about with the dog and enjoying our great weather. \n\nsome of the other vendors there...the goat cheese, desserts, and organic salmon are, i'm sure, good, but way too expensive for our budget. unfortunately, you can't run a household and still afford to buy salmon at 20 bucks a pound. \n\nall the same, nice place to walk around a buy a carrot or two. plus, you can always browse the touristy shops of old town, which i always like to do.",3
review_439535,shopping,"I've been to this Dee's Donuts a few times and every time I've been there it has been very pleasant. The ladies there always throw in a few doughnut holes in when I purchase two or three individuals. Not a huge selection of donuts at this place,  but I will say it is 1000 times better than going to Dunkin' Donuts. If you are in the NW area and craving something sweet and fast go here! They will always hook you up!",3
review_497702,shopping,"Favorite store hands down! Had to return something,no problem. They even helped select replacement. Better selection of shoes in Las Vegas store than in New York store. Too bad the store is so hidden away.",4
review_281020,shopping,Close this mall down already! It's ghetto and the stores belong in a swap meet.,0
review_603189,shopping,"Picked up three NY STrips for Mothers' Day dinner.  It was excellent quality meat and a very reasonable price for such quality.  I'm giving it the full five stars because when I asked the owner if he knows what \""city chicken\"" is, he did, and said \""every good butcher should know what city chicken is!\""  I heartily agree.  Support your local businesses, and get great quality while you're doing so.  Visit the Butcher Block!",4
review_240523,shopping,"One of the cleanest TJ Maxx stores I've been in. I was there during a blowout sale, but they managed to keep some semblance of order, and the staff was really helpful.  Checkout was speedy despite the massive amount of people.",2
review_10772,shopping,"I kind of hate shopping at this place. I am not handy whatsoever (!!!) and usually can only be dragged here to look at plants. \n\nSo I went there a few days ago looking for shelf brackets. I had a picture in my phone, just in case. I asked a person, who asked another person, who showed me some but then saw the picture in my phone and showed me some different ones. None of them looked close enough (I HATE returning stuff), so I said 'forget this'. \n\nThen I went to look at plants. I found a lovely vining plant marked from $19.98 to $6.00. Of course it rang up at $12.98 or so. I explained to the friendly young man working the garden center register, who called for assistance. That individual walked over to see the plant in question and snottily pointed to the price tag. The kid at the register told him it was wrong and where to look (based on my description) for the $6.00 sign. He found it, it was adjusted, and I went home with my plant. \n\nThe plant is gorgeous, otherwise I'd be pretty tempted to give them 3 stars. \n\n(Oh, and I found the correct brackets at a local hardware store when an old man working there saw me wandering around and chased me down to help me. SERVICE.)",2
review_551857,shopping,"I have to say that I really didn't like the sales associate who help me it seemed as though I was a waste of her time. l'm from California and stopped by on a recent trip I was not impressed to say the least. She was not helpful at all and I was willing to put down some $. It's funny how the Glendale CA store was very attentive. l left with not a whole lot in my bag. The only thing good that came out of this experience, was the fact that I got a rewards card and I can use it @ home. The end! P.S. l love Bare Minerals brand and this one experience will in no way change that.",1
review_574754,shopping,I love the organic meats and vegetables here and they have a great sale on the organic meats also.   This staff is always friendly here I like it all around,2
review_3765,shopping,"I'll be the first to admit that I'm a little weary of shopping at thrift stores. The clothes always smell like they have been in the attic or someone's basement. The store washes the clothing but you can sometimes smell the faint scent of cigarettes. Not all the clothes are bad though.\n\nI like to shop for the high end shirts and pants. They tend to have a lot of items and the prices are out of this world. They have a lot of clothes are are still new with the tags on them and every thing. I recently purchased 6 shirts, 3 pairs of pants, a winter jacket and a Paula Dean sauce pan and 2 purses for only $55. These are nice clothes too, not cheap t-shirts with holes or stains on them.  I always take the clothes home and wash/sanitize them first before I wear them. \n\nThey have more than just clothes too. There are silverware, pots and pans, dishes, halloween costumes, shoes, baby items and even furniture and electronics. The only down side to this store is that there is no dressing room. So the only real thing you can try on are coats and shoes. I see people trying shirts and pants on over there clothes sometimes but it proves rather difficult unless they are men. My sisters tho did wear leggings to the store so they could try on the dress pants. They bought designer brands like BCBG, Black house|White market, Arden B, claibourne, Van Hausen, and lots more!!!\n\nThis stores prices are beyond great, almost everyday they have a special. On saturday it was half off all color tags except red. I found so many items $4 pairs of pants, $3 shirts, $7 jackets. The Paula Dean pot was only $4 as well and that was great coming from a thrift shop. \n\nIf your ever interested in shopping here it's best to go on a Wednesday or Saturday early!! Wednesday you get half off your bill if you bring a senior with you. I like to use grandma sometimes to get some cheaper clothes. She enjoys it as well so that she can buy all the little nick nacks and holiday items. Happy shopping!!",3
review_55860,shopping,"As a FLorida transplant, I would compare Smith's to Publix Supermarkets. They are above average quality and maintain clean supermarkets. The staff are always pleasant and polite.\n\nThe three-star rating for this store stems mainly from the lack of selection (with certain products like yogurt) compared to the nearby Smith's on Sunset.",2
review_607703,shopping,Amazing shop!  Husband and wife owners that do everything they can to make the customer happy. Every time I go on there they are amazing.  I have sent all of my friends there and they are all extremely pleased with their experience,4
review_51365,shopping,One of the few stores in Phoenix that still carry Jello sugar free Vanilla pudding cups in the dairy case. We love the stuff and it makes a great easy dessert with whip cream and a little chocolate syrup drizzled on. (Have to have the sugar free so you can have the whipped cream).   :),2
review_147001,shopping,"The old store was rather pathetic looking. However, ever since moving towards the front, the store is now gorgeous and ever more enticing - dangerous for my wallet.\n\nThe staff are incredibly friendly - almost painfully so. Within a few feet, you will get barraged by at least three sales associate asking if you're doing alright. But the sales...those monstrosities are dangerous. Usually they have a 50% off handbags deal or an additional discount off clearance. Great savings, but sad day for my debit card.",3
review_233254,shopping,"Love this place. It is really large for sprouts,bigger than some of the others i have been to.  Lots of parking in the open Parking lot.                                                                 A really good location RIght on Indian School Road and 28th St.  Vitamens, herbals, lots of natural products. Great meat and fish dept. Lots of fresh fruit  and veg. Very simalar to Sunflower or Whole foods, and the price is right in the middle. Another good thing. .5cents off your bill for each bag you bring in. Yeah!",4
review_221766,shopping,Nice store with lots of cool but overpriced things. I went in with a couple of friends on Saturday and finally left after I became tired of being followed around like a common thief. I'm sure the owners could show a little more respect for customers and let them shop in peace. It's not like I'm going to walk out with a 50 lb piece of iron.,0
review_145697,shopping,Nice big place. Everything under one roof. I love it when they have their sales. My only problem is they send me a coupon but I cannot use it for the things i want because the higher end products cannot be included in their coupon (. Why bother sending .,3
review_281031,shopping,"Bargain for those who look 2nd hand clothes. Not my deal but couple of friends that I took here were pleased with prices.\n\nI brought some clothes to see what will happen and the feed back was .... missing!! I took clothes I hardly ever used and compared to some pieces they have I really don't get it what is that they want. Anyway, some girls go crazy in here. BTW if you hate the new nike shoes you got, bring them here, they'll give you more than 10$.",2
review_113576,shopping,"One of my favorite places to go shopping. A lot cheaper than the mall, better quality clothes, and everything you get is original and unique. I don't have to worry about someone else ever wearing the same thing as me! It always an exciting and interesting trip, and my friends are always jealous of the great finds I come home with.",3
review_254875,shopping,Cute store with cute clothes. They had a lot of items on sale - good stuff like Rich & Skinny jeans to pretty blouses. Good range of price points. Nothing that I couldn't live without - but a place that I'd stop in every so often to see what they've got.,2
review_17535,shopping,"With its remodeling, this Walgreens has undergone a strange and wonderful transformation that is probably best viewed at 11 p.m. on the night before a major holiday. I may have to go back on Christmas Eve to confirm this hypothesis.\n\nThe deal here is that drugstores, convenience stores, dollar stores, grocery stores, and discount department stores (Target, Walmart) all want each other's business and are gradually transforming into one another. So this Walgreens is sort of a baby Walmart: smaller! cuter! friendlier! oh-so-adorbs! let's chuck it under its sweet dimpled chin and buy lots of seasonal candy!\n\nWhile rival CVS has gone the route of wide aisles with cheerful-yet-strangely-useless signage, Walgreens is packing the merchandise in. The experience is much more like the drugstores I remember fondly as a child: narrow aisles, tons o' stuff, and you never know what you'll find. It has gone hogwild for minor convenience electronics -- the stuff like car adapters and chargers where it's a pain to figure out what store even to try. Also: walls of Ferro Rocher! \n\nThere may be a real niche here for \""what I want is too specialized for QT or Circle K to carry it, but if I have to face Walmart or the grocery store or the mall, I'm gonna cry\"" shoppers. Keep an eye out for the house brands that are now being featured prominently (nice!, de-lish, savings with a smile), as the pricing on these can be really, really good. \n\nIn a sensible move, this Walgreens has recognized that people who are buying cat litter, batteries, lipstick, cold medication, bourbon, and orange juice at 4 a.m. are not people in any shape to figure out how to queue. The cash registers are approached by a cattle run built from candy and small-electronics displays, and as a person who's recently endured the Camelback/16th CVS's Queue of Mass Confusion, I am grateful that there is no ambiguity about where to line up and who's next.\n\nI want to see what happens with the displays when Christmas is no longer dominant before I get too giddy, but this store looks to have become a lot of fun.",3
review_536239,shopping,"Une de mes haltes r\u00e9guli\u00e8res au march\u00e9 jean talon : tarte pacanes, carr\u00e9 au citron, scones... C'est bon !",3
review_253974,shopping,"This is a nice, small local shop that carries some high quality dog food. The have frozen, raw dog food, too. \n\nThey have some real fancy clothes for tiny dogs. I bought some awesome hiking shoes for my larger sized dogs here a few years ago- Ruffwear. \n\nThe location is very convenient if you live in the Cave Creek area. It's near Safeway and Target, so it's easy to combine shopping trips. \n\nParking is usually available close to the store, although for a huge parking lot it often has surprisingly few open spaces!",4
review_644164,shopping,One star for the shopping. This place needs a new owner and a new staff. Incredibly rude and not customer friendly. I'm sorry did I interrupt your social hour?,0
review_433068,shopping,"I LOVE LOVE LOVE Sheplers. \n\nI think I may be a boot snob but when I came to Arizona I went to THREE different boot stores before I came to Sheplers. Apparently the boots I was looking for are rare. I actually came here on a whim and the first thing I asked them was \""Do you have any leather/wood bottom boots.\"" And I didn't even have to explain why I needed it they steered me to Corral boots. Now, Corrals and I do not mix well so I asked for any other boots.\n\n And guess what? They showed me these Ariats that had leather bottoms!!! Apparently when I'm trying on boots you can tell whether or not they are comfy by the face I make. And apparently I made a very happy face when I tried on these boots. All I had to do was put these boots on and I knew they were the ones for me. Walking in I thought I was going to spend at least $300 on boots. I ended up spending $250 on boots and other things.\n\nThe staff was super nice and even told me how to get to Toby Keith's. If I ended up living in Arizona because this is where all the red necks are and they are super nice. I felt I was among my people! Good Job Sheplers. You have awesome employees and my feet are very happy while I'm at work :)",4
